"","text"
"310","one  fusion  world wiskey"
"311","  really glad    defacing  bottle  put  flipperspedro "
"312","superb taste"
"313","superb "
"314","would love    sample   juice     fair deal   everyone   flipper  completely flipping "
"315","   lucky  get hold   bottle    version   loved itnow  want  compare      wait"
"316"," picked mine    merica  retail   fun   auction  "
"317","love "
"318","folks  weve  published  blog post  explain  reasons behind  method  sale  drams lottery auction  youve got  observations   method  sale  opposed   liquid  please head     join   discussionif youre one   lucky  whove managed  try  already  please leave  user review  dont forget  star rating   pagethe chaps  master  malt"
"319","dont know waht  find       chance  try  let  win  sample    give   complete   detailed review  "
"320","good job"
"321"," many bell ends   moan cause theyve got nothing better     whisky guys get   theyre   right thing  trying  make  fair  everyone   cant recognise     actually mental "
"322","genuinely cant get enough  flippers posting angry comments  simply  disgrace  demand      chance  buy  bottle  make easy money  mom   handling   six bottles  "
"323","folks  weve  published  blog post  explain  reasons behind  method  sale  drams lottery auction  youve got  observations   method  sale  opposed   liquid  please head     join   discussionif youre one   lucky  whove managed  try  already  please leave  user review  dont forget  star rating   pagethe chaps  master  malt"
"324","   hope    making reference     maligned  idiots   certainly    absolutely     rise  immature tactics   retailers  got  bottle   legitimate source   asked   share  love   hinted  much   would  allowed  next time dont ask    prepared   answeri find  whole nonsense quite amusing certainly helps  tedious daily train journey "
"325","agree mom lost  credibility   retailer behaving  immature "
"326","send      send   bottle first thing tomorrow surely  believe    written   internetmom  really  stringing     idiots arent       amusement  cheap publicity personally  dont care   bottle  one fish   sea   opinion     retailer  sank dramatically  adding   pathetic fiasco"
"327"," sure mom  allow   happy lets   say  certain retailer  scotland  received  allocation   arrived   warehouse also   another online retailer   expecting   normal price "
"328"," chance   share  love  tell us  "
"329","  need  stop hedging  bets  getting  bottle  mom     dangling  carrot plenty retailers   still   bottles  bottle purchased  tuesday came   delightful retailer   gimmicks  strings   empty promises  raising ones hopes  flippers    insidersask  guys    bottles  appear  auction  soon given   need    bottle    least  weeks  advance  auction  opened   weeks  thereafter  bottles sold last week  auction  ridiculous prices   maths guys   yamazaki  released nd feb bottles   kept   retailers  staff  one  two allocated   public  keep everyone sweet  false hopes  creating  ridiculous frenzyand demeaning  sheer beauty  enjoyment  whisky"
"330","please read  blog postfolks  weve  published  blog post  explain  reasons behind  method  sale  drams lottery auction  youve got  observations   method  sale  opposed   liquid  please head     join   discussionif youre one   lucky  whove managed  try  already  please leave  user review  dont forget  star rating   pagethe chaps  master  malt"
"331"," whisky   good   amazing scores  points   opinion   really worth  price      get  sherried beauties  score    price  less     second market price  dont even go     belowi  tasted  whisky    many substitutes  dont even  time  list   right    need   lovein  suntory  "
"332","   reason   whisky   high demand     highly rated   review      tasted  whisky   realize    absolutely  substitutes even    none     posting   negative remarks  showing  ugly  truly areyes  uncool  suntory  make small batches every year    thought  maybe  reason     perfectionist  wont release mediocre whisky   market   make money especially since  cost price  people like mom   per  norm  im saying   theres  high demand   product  prepared  pay     cant afford  go drink something else  theres  substitute   go buy  instead  stop complaining     another overrated whisky ive tried     best whisky ive ever tasted even   think im wrong taste   personal  general  thank  mom  giving us  chance    bottle   fair price "
"333","  plenty  respect  whisky drinkers although    nas  frankly ridiculous  post called foul   investors  thought  much  clear    whisky equivalent    empty london flats nothing  safety deposit boxes   super rich    problem calling         get  bottle  drink  fair play  whisky   drunk ive met shinji personally   wonder   would sadden   much   expression  im certain   invested time  care   never  drunk investors   reality   secondary market   frenzy   affront sic transit gloria mundi "
"334","good  everyone gets  opportunity  think great idea  incredibly lucky  get  yamazaki sherry cask   l  ended  sharing  quite   people   could  try   one  ever storing anything except vintage port best  luck everyone"
"335"," person   written   title shameless well  say shame    writing   aggressive messagesyou  obviously aggrieved   fact    going    recipient   bottle   one chooses     purchase    bottle artcar etc        old enough  drink sir    old enough  act   degree  maturity  integrity  respect  fellow whisky drinkerscollectorsinvestors  whatever   quite simply    choices  life     upsetting     feel  need   vulgarity  spitting  someones face   one thing  think  nasty thoughts  another level  write   start drinking something else  may  suggest coke  tons   everywhere    never   need  whingewhineinsult  behave like  spoilt brat"
"336","folks  weve  published  blog post  explain  reasons behind  method  sale  drams lottery auction  youve got  observations   method  sale  opposed   liquid  please head     join   discussionif youre one   lucky  whove managed  try  already  please leave  user review  dont forget  star rating   pagethe chaps  master  malt"
"337"," sure    hype    got   bottle    retailer  queues  lottery  daft auction  questions  definitely  silly prices  walked  asked payed walked straight "
"338","    logical outcome  premiumisation   irony  delicious  unseemly scramble   slimy detritus  human greed  obsession    nas whisky   flipped     sat   display cabinet never   drunk  much use   pair  deer antlers    wall yup     come    spit    shameless facesthe retailers  start selling  wares  unsealed screw cap bottles  ensure  contents  simply drunk  collectors read investors  take stock   theyre actually   accept     whisky   capitalist fetishism"
"339","kudos  mr dont post  yet     unique perspective   take   even   get  bottle  wont  able  drink ithahahahaaathats  irony  pay gbp  roughly  us youll say     pour    old flesh tube  make  smart investment decision  course  old canary     ear    latter         take  old bird   nice date get  good bottle   troubles  still    left     said  donebwahhahhaaaahaa"
"340","folks  weve  published  blog post  explain  reasons behind  method  sale  drams lottery auction  youve got  observations   method  sale  opposed   liquid  please head     join   discussionif youre one   lucky  whove managed  try  already  please leave  user review  dont forget  star rating   pagethe chaps  master  malt"
"341","mom  comments  make  day  read  religiously every day   better   comedy show  got  mad ones  whiners  selfish uk   pros scotch experts   ones  hope  get selected hold   one  month  need  hear  little     valuable customer  give   good reason   buy    pounds believe    choose  better  dont   heard  self   waiting list  dont stop    good  funny "
"342"," guys know  right hence  really dont think  matters   choose  sell    little chance anyone  get   retail anyway  rare  full  hype    want   chances  small regardless unless  want  spend  overinflated collectors priceto drink   plenty probably better   want  spend gbp"
"343","tried  sample     worth  quid let alone   current auction prices     save  money  get  decent sherried speysider "
"344","last night  red  post  mom   incredible product  odds  get   pretty low  im quite sad   since  want  badly  bottle  celebrate  birth   son   happen  next days however  really want  congratulate   mom chaps   chosen  fair intelligent  ethical method  allocate  amazing whisky  post shows clearly   took seriously  comments   customer   dedication   business     passion   im constantly buying great products   website even  im   form italy   shipping costs   always  great exchange rate    event   realese   yamazaki sherry cask     managed  raised totally   loyalty towards  website      favourite source  purchase whiskys gins   frat thing alessandro"
"345"," bottles allocated   uk population million    odds  picking one    "
"346","folks  weve  published  blog post  explain  reasons behind  method  sale  drams lottery auction  youve got  observations   method  sale  opposed   liquid  please head     join   discussionif youre one   lucky  whove managed  try  already  please leave  user review  dont forget  star rating   pagethe chaps  master  malt"
"347"," think  position taken  mom  reasonable enough especially like  idea  dividing  bulk  little tasting drams   amusing  see  many   end    auction"
"348","   far  best solution  unless    flipper  disguise isnt getting cl  enjoy better  getting nothing  way   people  get  try    wont    mark    found   bars  hotels"
"349","asking   friend obviously    auction     sell  instantly  leave  flippers  auction  instead  lottery    stop playing   fire  fire  auctions"
"350","mom  become utter jabronis   started   bastard whisky santa nearly two months straight   skunked   rapscallion  bad enough    make  announcement   morning release   afternoon   done       control "
"351","bang "
"352","lottery fairauction unfairi dont see   first come first served method  changed  seems mom  shot    foot   btac release  announcing   week  advance allowing thousands  people around  world  time  get ready  crash  site instead  whats happened   past    announce   morning  goes live instead snooze  lose "
"353","  read  comments  buffoon nobody   moaning   lottery   moaning   auction   fact nearly everyone  fully  favour   lottery system  please dont comment unless  understand  topic"
"354","reading  true nonsense      comments  regarding market value   people saying    retailer auctions     customer pays market price   whisky  okay lets assume   pay market price ie auction price   online retailer   would    assumption  everything   worth  somebody  willing  pay       idea  would make  suggestion fair across  boardhow   stuff     overpriced    market value  start auctioning     reserve  customers  bid   like  anything   sold   recommended retail price mom  kindly donate  money  charity  im thinking things like octomore          way overpriced    bought    o  auction  sound fair  good cause etc etc  didnt think    get    lottery please "
"355"," agree  one   comments  break  seal  let  genuine drinkers acquire  bottle"
"356"," people   forum aware  suntory opened  lottery application window   release    weeks  january  japan  direct buyers   apply    weeks   eligible    lottery   everyone giving mom  hard time   lottery system  happy    still join  lottery   window  passed   japan"
"357","tell    distillery  japan  try  inflate  whisky prices globally  using  marketing tactics  comment belowagreed let  add  fact      mistaken    ever seen   whisky go  global sale   form  lottery thats  probably  first    looks     going    last time  seems like  japanese havent  mastered  art  karate   forms  art marketing shenanigans lets also ignore  fact   whisky product   sold   form   auction  nonauction house whisky websitestorecontroversy   comments section  mom    first either    sure  enjoy    every time   nudge   bit"
"358","  customers buy  bottle  whisky            people  lost hundreds  pounds  putting  bottles  auction   one bottle comes along    sure winner  came make  money back  cant even buy    normal way   used   house wins   time  house  master  malt"
"359","whats  matter master  malt arent  rest   products selling  youve seen away  one product  cover  costs   whole year "
"360","auctions   place  wouldnt even begrudge  speculator grabbing  bottle  flipping   make   quid free market economy allows us  freedom   shouldnt bemoan  hey ebay works ok rightthat said  online retailer auctioning product doesnt feel right    charity thing   red herring  yes possibly  cyclical publicity stunt  raise profile  business  bottles   placed   lottery  registered customers  customers pay rrp    customers want  flip  bottle fair play  prerogative "
"361"," forgot  mention  self righteous category   obviously fall    seems     feel     way     crazy hype   drink   clearly wouldnt even know  unless  heard     whisky bible   course people  bitter   process  getting  probably fantastic product fairly   market place    absolute shambles   fail  see  people voicing  concerns automatically places   one   three categories    said    coming  someone    time  check   internet comments   daily basis    personal amusement   suggest finding  new hobby  avoid  even sadder existence  awaits    listing     "
"362","question      thinks  bottles    sold  uk residentsi understand   want  keep  bottles    thereby getting  kind  better oddsof getting onebut    think   countries  dont get  allocation      left outside  last thing  read    country would   anyi  guarantee     people  japan  bottles    japan  thinks   whisky    sold outside  japan"
"363","ill  sad   gets listed  ive enjoyed visiting  page  day  catch    slew  hilarious posts theres    perfect mix   overprivileged  bitter   deluded   hilarity  pretty much guaranteed"
"364"," think  people might   annoyed   returns  wont make  like   already   k   auction site  doesnt end   weekend       appear   types  sites within  month   mom break  seal   bottle   lottery      sort  genuine drinkers   money makerseither way   get    "
"365"," dont   issue  either  auction   raffle admittedly im  rich enough  win  auction     lottery id rather     chance  winning  bottle    chance      currently   tough situation   retailers   simply isnt enough  go round  thats true  lots  bottles   dont see     outrage    actually  chance    people complaining may actually win  bottleif  dont win sure ill  jealous  ill take    buy another bottlei think   remember   whole pastime  meant   fun   doesnt get excited   lottery"
"366","god knows  much  drams  going  sell    bottle costs cl   measly  sips"
"367"," dare say   price     auction process  well exceed  price    year old single cask cask bottle  karuizawa  auction   tops    hundred bottles  available   world hype hype hypei  even seen  london bar charging    ml measure   go  roka    ml karuizawa sherrycask    know   would choose every day   week"
"368","   release  whisky already  people  stop complaining next time  go  japan  camp outside  distilleryif jim murray didnt write  review half   wouldnt     first place"
"369","    european allocation   bottles   available   uk   really  sold  uk residents  wouldnt attempt  purchase  bottle   germandutchfrench website  bottles  allocated   country   stay  also auctions  contemptible "
"370"," issue   charity  donating  generalthe issue    saying proceeds  rrp go  charity  automatically implies theres gonna   bidding war  price  go way    ordinary folks like    wont even stand  chance  buy  b  think  got  wrong  say mom give  excess  charity  theyre  accused  profiteeringway     page  says   anything  rrp   donated  charitywhere   think   rrp comes fromwhere   see mom saying theyll put money   pocketits  customers pocketlike many people mentioned  everyone chooses  donate   charity   choiceas  uk addresses    assume  comments  oppose     outside  uk surelymom  uk based   profits    part come  uk customers   international salesthis coupled   fact      handful  bottles allocated within  uk     already reserved  rich clientele  high end bars  dont see whats unfair  itif  us gets  allocation  bottles    folk   states   chance  buy   uk site  uk site   matter"
"371","    honest way  getting  taste     ways  retailers   getting   us drinkers    dont like     little choiceeither ignore  hype  sit  outwait  see   bottle arrives   auction site  put  hammer price   pocket   auction site    someone looking  make  quick profitthere  plenty    bottles  may  betterthe hype around    based    bottle   unusual hype  increasing price  japan whisky anywayi  one want  taste  purely   want  see  difference   bottles   affordbuy     supposed   best   world   cant afford  bottle  ill certainly    look    cl samplegood luck  everyone"
"372","auction price   retail market price  market price   retailer      penny      people learn  difference   perhaps  dont fully understand    proposing   auction   people  bid  something    auction price starts    guess   people    pay   lastly     auction site    respected online retailer    entrusted  multiple brands  adhere   retail price    understand yet"
"373","   auction    joke   want  donate  charity      pocket dont force  upon  customerstheyre  forcing anybody  donate  charity  customer pays market price   whisky mom give  excess  charity  theyre  accused  profiteering   dont like  go  buy  bottle  another online auction   youre donating   private individual instead  thats obviously preferable right"
"374","  gordan gekko wannaby    market rate       auction site   yamazaki  care   kind  thing   respected retailer   obligation  adhere   set retail price  retailers  dont stand  risk  getting future allocation     real world thats also   japan    retailed   way  auction  nice try  sounding clever though  "
"375","eh  price yamazaki set  matter  thats   set   trust respected retailers  adhere    thats    retail sales  japan   way  lottery  failure  stick   usually results  future allocation  suspended      real world works   youre gordan gekko fantasy   nice try "
"376","  comments  asking us  stop whining  money talks   serious     think   gordan gekko   retail price  yamazaki set  matter    true market rate  respected retailers  duty bound  adhere      dont   future allocation blocked      real world works     good causes etc give   break   walked  miles   degree heat last year  charity  three years      west highland way   also pay online  wwf   dont need dictated   anyone else  giving   unspecified charity  making  online purchase  lottery system  fair thats    allocated  retailers  japan  rest   farce  glad mom  half seeing sense  hope  rest get  knuckles rapped  yamazaki   utter shambles   unfolded  last  weeks "
"377","im   one less   concern   lotteryauction     care scotch come  scotland     great variety    great price   complaint  bad    price etc dont buy  uk customers  relly  must   joke   take  comment  real master  malt sales   word    uk one  thing  complainers want  buy  bottle  bad"
"378","seriously    sound like spoiled children splitting allocation   charity supporting worthwhile causes   lottery  fair  equitable  guys clearly havent seen  many  retailers   instantly started selling  stock  double triple even x  recommended retail price well done  mom   model  wish theyd hurry    surely    stock nowalso   saying    uk   haha mom   wellrespected international retailer  would lose  lot  credibility  "
"379","lifes  fair get   everyoneso much whining  whingeing  people   sound like complete babies  mummy  didnt get   wanted today waaaahhhhhhhlisten      rubbish  rich people getting priority  thats life  money talks guys   want  bottle  gonna pay  market rate   absolutely nothing    whatever release price yamazaki  decieded "
"380"," way everyone  get  taste  lock    secondary market punters"
"381"," problem   japanese whisky  general prices  skyrocketed   recent yearsas good  japanese whisky might    certainly  worth   bottle let alone   purely marketing shenanigans  create artificial demandof course  retailers outside japan  willing  indulgeand jump   bandwagoni hope buyers  wake   sabotage  brand  retailer  manipulates prices like thathaving said   sale    restricted  uk residents onlyas   auction    joke   want  donate  charity      pocket dont force  upon  customers"
"382","  btac fiasco last year theres  perfect way  allocating  highly sought  bottles    pains   see uk retailers following  american lottery system  think    best way  allocate bottles   commend mom  taking  step  said   agree entirely   comment   please mom    possible  eu trade laws restrict  lottery  uk buyers     huge amount  global demand   whisky   one    acclaimed online retailers   world     huge interest  places   lottery   corners   globe     guess  think    less   bottles available   general public  buy   uk  vip customers bars  hotels  received  priority allocation      case  think wherever possible uk retailers  try  ensure british customers  given priority  international customers"
"383","     bottles expected  come   uk     main suppliers  already allocated    stock   vip customers   cant see      bottles left   average drinker    auctioned   people   deepest pockets      handful  regular people  manage  get one "
"384"," hope   lucky day"
"385","auctioning     wrong   whisky world   momentcrack   seals     drinkers   interested   profiteers"
"386","  please    people    time     people    time   cant please    people    time"
"387","  happy   system seems fair  hope   lucky day"
"388","harvey nicks  pre sold   vipsthis   correct     vip  harvey nichols  london  confirmed   selling   list   list    first come first served basis   stated im number        see   still  received stock      state  way   selling   still   list although    grown   "
"389"," think  lottery  fair  good practice  auction idea despite  profits going  charity seems  fair  whisky fans    continuously   marked  people  deep pocket"
"390","lottery  agree auction disgrace yes   charity  youre going  push  average joes chances  ever getting  bottle  almost nil  give  charity   monthly basis  choose         forced upon us  expected better  master  malt"
"391","  thing really correct   trader   situation   principle  equality   customers  discrimination   basis   pocket depth   reason  recommend   keep  stopped  price     enable  interested customers  join  lottery      drawn   give  opportunity  buy  bottle   real price   without  increasei  sure     successful way     time im sure  way  eliminate  negative comments   auction solution "
"392","   tasted  says    good   version   taste  tomato   need  make pizza  rather  would pay   less   king  yamazaki sherry cask   participant   unhappy auction "
"393","yeswe  know   going    good bottle yes   become  instant collectors piece   means  much      purchase   dekantä    price tag   use   coupon code  comes    even tho    crazy makeup price wait till  see   hits   future  take  chances  good luck everyone btw   price point   would rather commit   port ellen    gone forever     batchesjohnny "
"394","  btc debacle kudos  trying  lottery   commend  efforts  give  people  fair shot   release"
"395","  favours  rich"
"396","harvey nicks pre sold   vipsselfridges pre  sold  vipsharrods pre sold  vipswhisky exchange  quote   know nothingvintage house  pre sold  vipsmaster  malt auction  realllythis   complete shambles   involved  maxxium   retailers  great job"
"397"," dont mom split  seals   bottles   drink   shared amongst friends   keep  auctioned ones intact    increasing  potential value  investors raise  money  charity  create enjoyment  allowing  drinkers  chance   tot collectors like      hope  uk  given  slightly larger allocation   next release"
"398","  afraid  selling  bottles  auction simply fuels  hysteria  japanese whisky   present time  surely  producers view   appropriate price   respected lottery would  sufficient  ensure fairness"
"399","    distant past  purchased yamazaki sherry  purchased  hong kong   usd  version purchased  japan  usd   contacted  stores throughout  us  luck probably already sent   auction block  thought  entering  lottery  decided  pass let    uk friends get  chance  win  early reviews say    mind blowing    release"
"400","ive  refreshing  site several time  hour   last  days       occasions  saw  price mom  going  sell  bottle   called  directly thinking maybe    glitch   side   bottle   put   sale yet  could  see  coming soon   dont agree    auction im ok     least mom isnt jacking   price like one retailer  found  japan   least    days ago    bottles  stock   selling  bottle    even emailed   confirm  price  response  yes   selling    american dollars    marketing cost  know people way pay     rare  highly sought  bottle  online co  dekanta"
"401","lottery yes first come first serve yes  auction   playing   whole marketing hype  inflating  price   reason  suntory  suggested  retail price    stick    auction   serve  fuel  secondary market   buying   speculative reasons  investment  beg   make  right choice "
"402"," agree   others   comments  auction  nothing   majority      ones    money fail"
"403"," bad enough  thanks   ramblings   certain panamahatted selfproclaimed whisky expert  forced  enter  sodding lottery  buy  bottle  whisky   put    auction  frankly embarrassing    echo  sentiments   commenters  made  valid point    auction       money  sense   shouldnt     online retailer  decide   wish  give  charity   smacks   publicity stunt  give  charity    terms    im making  normal online purchase "
"404","agree  others   stick     lottery youre  allowing person   money  buy  bottle otherwiseas someone else suggested charge  nominal   enter also consider restricting  existing customers   newly opened accounts  way  stops multiple entries  goes  existing loyal mm customers  could  create  stock item thats  per customer   purchased   entry"
"405"," lotto      everyone   equal chance  people  want  enter  lottery pay  entry   chance   money goes   charities  means people whos pockets arent  deep    chance"
"406"," agree  lottery system   fair considering  limited amount  bottles produced   number  people  want      agree   auction  previously stated    help  ones  deep pockets"
"407"," agree   lottery system   fairest way  certainly   auction  firstly like  lot  people  give  charity already  secondly   means     money  get  bottles  im positive thats   yamazaki would  wanted  envisioned   whisky"
"408","fair play      great way  allocating bottles "
"409"," need  remake  stuff"
"410"," water needed  ice "
"411","smooth   water needed"
"412","bourbon barrel finish really took  complexity  smoothness away  typical yamazaki offerings"
"413"," puncheon   essential ingredient  gives yamazaki single malt whisky  unique balance  sweet flavours  deep rich aromas loved  world  bottle   abv yamazaki puncheon single malt whisky  made   enjoyed neat rich aromas  sweet coconut  vanilla flavour    puncheon cask  deliver  edition  produced  part   cask series    discontinued like  rest    cask series  sherry cask version won  title  best whisky   world  subsequently  retail price rocketed needless  say  alternative  versions like  puncheon  follow suit"
"414","yamazaki puncheon  price wtflast year edition   still  sale  nearly half  asking pricewtf szarik"
"415","im   expert bit    best whisky  ever tried tasted   asking  suggestion  clerk   yamazaki distillery    tasting bar  man  went   smoothly   feeling   mouth sorry  cant provide   accurate description     incredibile"
"416","one   best whiskies   year"
"417","  invited   dinner   small group  wine nerds  one   brought  sealed bottle  yamazaki   finish   meal  needless  say    us finished  yamazaki    aroma   overpowering  one person   adjacent room came   ask    opened  flavours   intense yet elegant   finish though   longest    satisfying   managed  locate  bottle within two weeks     hidden away awaiting  right occasion  friends"
"418","nice"
"419","color dark amber dominant raisin  spice   nose oily bold powerful flavors  confirmed  raisin  spice cinnamon dry fruits apricot coconuts pineapple etc    long finish  comparing side  side    two     complex  finish    long   points     hakushu     macallan   sorry"
"420"," best  man  get"
"421","japan  best  ever"
"422","  least  glasses everyday    days   trip  osaka  usglass   suntory museum bar  restaurant   glass   ritz go   former"
"423","   chance  try    times  trips  japan    absolutely fantastic whiskey  nose   alone  worth  price though ive never purchased  entire bottle"
"424","upon  recommendation   friend  bought  whiskey   sort  dowry   new fatherinlaw bought   july  waiting  december  try  im  kiwi    ancestry tracing  dundee   like  scotch talisker  always   favourite  mine      books compares  quality   talisker  thats sounding  bit disappointed    bottle  scotch obviously  tastes nothing like  talisker   heavy   taste  wood     much   gotten  bit   treacley twang  lost  sharpness   youd expect  woody finish      expensive whiskey   maybe expecting  bit   maybe  bit less    battering ram   powerful brew"
"425","one   best whiskys ive ever tried "
"426","     wont  hatingthe predominant note reminds   vinsanto  mouthfeel  velvety   almost plumsweet finish    one word    use  describe  layers  flavour  would  synergy absolutely sublime    cynic  man  knows  price  everything   value  nothing  oscar wilde "
"427","   ridiculous joke      stupid  naive collectors    responsible    ridiculous hypes     japanese bottlesshame   people"
"428","  great stuff  thats    saying   won best single malt   world     fyi  karuizawa yo    x  price    got  decimal   wrong place also keep  mind  yamazaki   making  much whisky  years ago  even less    sherry matured youre paying    age  quality  rarity  save     previous reviewer said"
"429"," agree  look   still sellingjust earn  money   price  seem lower"
"430"," expensive    yo  karuizawa  yo costs less"
"431","truly  monster dram     able  get  hands   sample   would say  hands   finest whisky ive tried    whisky   ball park  ive tried   tun  batch    one  better     tun   blend    single malt   dont know    fair comparison    outrageous  smooth complex fruit  spice long long finish  wonderfully warm  big nose  cant say enough"
"432"," really great"
"433","   best vol super drink "
"434","excellent"
"435"," whiskey wasnt bad ive  better   manythe box  comes   nicei guessoverall    bad way  go   want  low end whiskey   white tiger hunting trip    gift   caddie"
"436"," bad"
"437","guaaaa viva el caciquee"
"438","oops  told  cant fault  guys  master  malt proper people   great job well done"
"439","hi  yamazaki single malt whisky  distilled   yamazaki distillery  indeed  owned  suntory interestingly  also   morrison bowmore trio  bowmore auchentoshan  glen garioch distilleries  scotland   chaps  master  malt"
"440","yamazaki   whiskey distilled  suntory"
"441","simply  best"
"442","  lucky enough  try    high end japanese restaurant  australia  could  believe     menu    high hopes  still  floored   old leather character      sublime  like  could almost taste every year   matured  took  taste buds back  time  partner didnt quite know      mins   dinner    somewhere else mizunara forest maybe"
"443","   hard  top"
"444","love  old touch   one "
"445","  july     managed buy    rare bottle  close   original retail pricecant wait  open "
"446","   colleague  mine wish  could get  hands  one   simply amazing"
"447","best whisky ever"
"448","   many  single malt scotchwhiskey     far one   top    ever tried simply astounding  would gladly pay even "
"449","  possible   store    buy   drink maybe   years    affect  taste"
"450"," much"
"451","   say words   enough  express   enjoy"
"452","  ever tried    ones got   comments  redundant"
"453","  fortunate enough  win  dram lottery    fantastic dram sophisticated flavorful lasting  wish  would  won  bottle   feel fortunate     chance  try "
"454"," whisky   sexy     human   would  david hasselhoff  hasselhoff"
"455","  cool way  cool "
"456","extraordinary flavor   scent thats spicy  alluring  hint  sweetness  doesnt linger   pallet exquisite"
"457","good whisky "
"458"," go  even better   orange rind  soda water"
"459","wellblended  interesting enough mixture   yamazaki  hakushu flavour profiles apricots grass something floral  overly light   marred   grain  higher abv  pure malt might go  way  correcting  failings  really worth getting   rather superb individual malts  fact  nonstarter   recent price inflation"
"460","    work    mistake   prefer single malt   let   convinced   guy   duty free counter  bought    wanted  try something   japanese market   sorry  nothing special lovely bottle though    keep    rereading  marketing blurb   back   box   translate   two ways lets  mix everything together  sell    fortune  let sit   produce something harmonious  lovely lovely indeed  nothing special"
"461","  golden color  sparkling bright  hibiki   beautiful whisky   nose  shows  awesome harmony although  lacks intensity   mouth     big harmony   quite diverse range  flavors  lacks  structure  personality     pleasent blend would recommend  someone   searching  japanese blend"
"462"," think prices  going  due   hype   picked one     tasting  flight  japanese whiskies   local whisky house    nose  whisky   floral  notes  sandal wood  sharp fruit   almost nail polish like    pleasant way    tongue  whisky  light  lingering sweetness  subtle notes  malt  peat come    midpalate   appreciate subtle flavors   foods  spirits  really like  whisky      collection  appreciate  range  different styles whiskies  offer  note    going    powerful   islays   bourbons  "
"463"," tasty whiskey   gone        last  monthsi wont buy     pricethere  many  great whiskies    much lower prices"
"464","nice    classic   young  easy going   palet dont  add water   kill  whiskey got   present  glad     read reports   price  going    brought   second bottle   worth   "
"465"," first  thought  tasted  hint  subtlety   making     ounce  started  drink like  slightly  balanced irish whisky   good thingat  much lower pricepoint  would   acceptable whisky  im afraid suntory  dressed   subpar dram   nice bottle  box  called  premium avoid unless youre  buying  ounce"
"466"," nice big fan   almost prefer  sniff   drink  cuts calories   affordable "
"467","       year old versions existing  hibiki   best blend around   moment    much  offer   whether   tried whisky   first time recently    seasoned drinker  nas hibiki may   younger malts    year old    wouldnt  surprised    older   well balanced friendly  accessible  never boring may   little pricey    unique experience indeednoselots  dried fruit notes including plum raisin apricot  perhaps  hint  fruit conserve vanilla  floral notes    pickled note    unpleasantly     little acidity complemented   marmalade note cacao    faint hint  peatpalettesweet wood notes vanilla honey develops   warm spice rich apple  orange note  finishing   oak woodiness  spiciness  overbrewed tea   faint passing note  peat disclaimer tasting notes  subjective   "
"468","im   whisky buff   toff     bunnahabhains   shackleton journey  discovery whiskiesall god damn fine whiskys     say   distressing   doesnt come    litre version cl    enough   happy      cabinet  really nice n fresh  drink  dont add coke  dont add water damn  dont even add ice  drink  whisky   poured straight   glass    mouth"
"469","  blend   yamasazki  hakistu   actully taste    exact  time  problem      near  good    led  belive   already  yamaski  hakisu   really  need   get  one "
"470"," little bit pricey  one   best blends ive  drinkingalot  flavours caramel orange peel  alot   flavours    try another whisky     end  review right "
"471","smooth  good whisky  well balanced "
"472","great whisky  easy drinking however  taste  almost identical  glenmorangie  mid winters night   half  price cool bottle though "
"473"," smoky peaty briny single malts  winter   hibiki harmony  spring   light sweet bright fool  fruit  citrusy influence   justyummythere    whiskies even close  price point   would rank   one "
"474"," far one    elegant whiskies  enjoy  straight    splash  cold water  smell orange  bit  chocolate  toffee  smooth taste   sweet buttery end   complex    complex  medium strong "
"475","  blend  hibiki  remain smooth  start  finish  also   pleasing complexity  makes  want  taste      nice finish  lingers softly   like allowing   easily continue  drink    never one  try  pinpoint every last flavor detail   leave       refined palate     value   whisky  tastes great    pleasure  drink   overall experience  find  hibiki japanese harmony  exactly "
"476","   beautiful whiskey   smooth delicious sweet  well worth  price "
"477"," opened  bottle  poured   glassed  smelt really good   drank    also tasted really good      glass   local scottish whisky    decided  taste  japanese whisky        surprised  shocked  find    pleasant  drink    scottish whisky  disappointed  fw"
"478","  lovely whiskey  easy  drink love   ice "
"479","  price    best japanese whiskey  "
"480","  get together   boys  originally wrote  report      favourable  said  would let  breathe  report back       group  fruity cherries  bananas  rather flat overall  life  social redeeming valuelack  risk   distiller  question  would  buy    overwhelming response   "
"481"," bottle  got   japanese advent calendar  hopefullt     stuff hadnt  light smoky nose   flavor  cat vomit  every sip resulted  gagging   two friends    avid whiskey drinkers  tasted     reaction  group vote   pour    spent  evening trying  choke   hoping  would get better   didnt "
"482","  first opened  bottle   could smell  rubbing alcohol first glass    pleasant experience    youngsharp soapy  lacking  flavour let  sit      another glass   weeks later  although  settled   still lacks character   opinion   boys    scotch night  xmas   report back    thoughts"
"483","    much alcohol taste   smooth please mix  yamazaki limited edition    becomes fantastic  spoonful     formula   right"
"484","honestly  hibiki   disapointing flat  short"
"485","young wet wood  floral decadent marmalade spice vanilla sugar sweet  thin short finish nice sweet  spicy taste  wood  flowers  aroma  bit thin   finish id short complexity seems  stop   nose   taste   bit   sweet mess reminds    brandy  rating comes      excited  run   kitchen  gave another dram    would  buy   nope"
"486","probably one   better  blended   tasted   mid tier range  smoky scotch isnt      one  go  "
"487","recommended  highly"
"488","recommended"
