"","text"
"52","wanted  try  yamazaki  asked  friend  get   singapore since   easily available  dubai    got    distillers reserve  tried     one came across    pleasant surprise   rich  textured quite deep   single malt   fruitiness  redolence  varied casks comes across post  couple  tastings  makes  quite layered especially loved  finish     exquisite   mouthfeel small tip  actually tastes better   single small ice cube  around  small splashes  cold water enjoy    love  deep rich whiskey slainthe shantesh"
"53","beautiful seriously good dropthat nose  inticingwith  swallowfollows  smilehardest part  saying goodnight  itgreat value steve mcgiff st ives cornwall"
"54"," gift   friend   first japanese whisky   first impression  nice  smooth  something missing   heart   repeated tastings however      intrigued  like  dram  keeps   surprises incredibly well balanced  one   smoothest malts ive "
"55","put  bottle      wedding  picking    sainsburys  around    one    popular whiskys  far  loads  people asking   next day  remind    wasnice fruity flavours   good finish ive gone  bought   bottle    none left   wedding"
"56","picked    sainsburys   places    even  offer  really  tasty  great value   money  first experience  japanese whisky    rate definitely   last   happened  also   hakashu distillers reserve  might   give   go  well     fan   bit  smoke"
"57","   glass     weekend  best whisky   price bracket  soft   palette complex silky   love  hibiki range  jump      "
"58"," love scotch whisky     japanese whisky yamazaki   hibiki   hibiki   taste  complexity   scotch im wondering  theyre  sold   quickly   australia"
"59"," love scotch whisky  theyre  complexity like japanese whisky  yamazaki   hibiki  etc   im wondering    japanese whisky sold  quickly  whole worldwide"
"60"," realy good experience sold   norway   go  sweden  get itworth  trip"
"61","good    better   rest   pack   price range    every good liquor store several scotches    price range  least  couple     better   yamazaki  said    good whisky enjoyable   nose   palate  lacks   bit  fullness however necessary  move toward  front   class"
"62","excellent enjoyed   lot     become  expensive"
"63","simply doesnt   depth  range  flavor   japanese whiskies    price range  youre looking  try something new      others  probably worth giving   shot   youre considering  japanese whiskeys around  almost anything   list would likely   dynamic "
"64"," best   best   never blend   different "
"65"," best whisky   ever tasted  favorite  far"
"66","recently  introduced   beauty   must say    disappoint  originally thought id try   move    make sure  keep    cabinets quickly became  favorite  mine     glasses"
"67","best"
"68","awesome  wish  cost  much   used   usd circa   media  hype maybe justified  brought  price much higher  days  similar taste    although  bit  rough    much wondering    worth   purchase  yamazaki  balanced  rich full body rich flavors hint  vanilla floral nuts   tinge  spice  wish   kept  secret   ratings"
"69","  pour  tot  special occasions im sadly running    nectar "
"70","   enlightenment libation"
"71","excellent exotic whisky"
"72","excellent exotic whisky"
"73","gents   price think  many great    year old scotch   get   price range  try     reserve neither one impress   im   list   one "
"74","nice "
"75","japanese whiskies  overrated "
"76","  opinion   overpriced  overrated  found   nutty oily  oaky    find tropical fruits  found oranges   nutty  oakiness  overpower  "
"77","first let  say   handed    shocked    good      full bodied  flavored  tasted deeper   average many  year olds    pricing model  made  notaffordable     years ago  could  found  ny     ca    even   around   ny  suddenly  price  shot    selling  crazy numbers   cant imagine   average scotch drinkers  afford  anymore   wont  losing market share     bad  "
"78","    taste   recently   stay  hiroshima  brilliant malt   liked  sweet palate soft fruits   smoky taste   price  good      generous  one "
"79","sampled  last month   hotel  kyoto   yen  glass   gbp serious measure   superb whisky    unbelievable price "
"80"," best whisky ive ever "
"81","lived next  distillery "
"82","amazing"
"83","  bottle     years ago   much  reasonable price  thought   goodnow ive  lucky enough    given another  thought id review itif  cost     standard issue scottish  year old whiskies   would say  decent offering      way near  good   much  subtle yet elegantly satisfying hakushu distillers reserve good appealing nose nice unimposing sightly sweet flavour  slightly  much burn  nothing particularly interesting coming throughto   overpriced fairly decent generic whisky"
"84"," beautiful whisky"
"85","excellent  smooth whiskey  definitely one   favorites wish one day ill get  chance  try  yr   sherry cask"
"86","japansk single malt som luktar citrus blommig karaktär av det bättre slaget sälta samt lätt doft av tropiska frukteri överlag måste jag säga att jag blev ganska besviken med tanke på vad jag tyckte om distillers reserve så förväntningarna var höga men helt klart godkänd doft  alla fall den här luktar mer åt det maltiga hålletsmak blev chokad över hur spritig den var inte det värsta jag känt men hade räknat med noll kryddig  smaken och en ganska god eftersmak av tropiska frukter som dör av ganska snabbt blir diss på denna"
"87","really  excellent  wife searched   bottle    quite  time  finally getting  bottle  master  malt    stock often   hard  get   else    reason   get  bottle     wont  disappointed"
"88","sorry forgot  include  rating   first review tasted    distillery along  several hakushu   yamazaki    year     dial sherry cask    see  sale  several thousand dollars  bottle  yamazaki  year   best single   afford  quite  complete package    year     companions preferred  hakushu  year even  distillery   longer selling    tracked       larger outlet  kyoto  also   aforementioned bottle  sherry cask  worth searching   want   less  museum exhibit prices"
"89","visited  yamazaki distillery tried  number  offerings including  year   amazing sherry cask   year   quite  complete package    year    best single malt   afford btw   time  writing  could  longer get   year even   distillery   tracked    bottles   larger outlet  kyoto   price   ok  brought  home along   couple   hakushu  year     fellow tasters   distillery felt  superior    bit  sampling  im   jet lag"
"90","received   birthday gift   wife   must say   truly amazing one   best   tried "
"91","ive   chance  try  number  suntory whiskies yamazaki    years old  among   reluctantly    say    expressions feature  slightly smoky palate   incredibly oaky  dry finish    expecting   profound experience   tasted   year old yamazaki im  sure   capable  giving decent oaky scottish malts  run   money  price tag certainly makes  lean  towards bottlings     yo edradour    yo cardhu"
"92"," best mmm love  smooth delicious  charakter"
"93","  truly  treat nose    charts  fruit  caramel  flavor    amazing   must  "
"94","  superb slowing going missing   market thus high price one   best single malt     vintage"
"95","nose fruit figs almond tropical fruitstaste subtle spice sweet  tiny bite finish  medium  warmingaverage   humble opinion since    expensive comparatively "
"96"," worth    bought    us      tough  say   worth    yamazaki    roof  thats  right"
"97","  almost double  price  distillers reserve      touch   good tastes   reserve got  feel  alcohol way  much   even close   little brother"
"98","fabulous single malt like music   mind n soul smooth n delicious prefer    yamazaki  years "
"99","    tasty whisky    smooth    easy  drink   aroma  delicate  lovely      interested   nice whisky  anyone  drink try  one  "
"100"," absolutely mouth watering nose  creamy nuttiness  fruit medley  carries  wonderfully onto  palate   clear bourbon influence   also obvious   nose  lingering fruit  oaky finish wraps things  perfectly theres  smoke  peat  fruit  spice akin   aforementioned bourbons   closely resembles    textbook japanese single malt   downside   price   way  steep  present luckily   mine      good friend    absolute steal "
"101","first  ill say   found  much cheaper  others     went      lot  open minded   lower expectations  whisky  fantastic  nose   sweet  strong vanilla coming      light whisky  really shines neat  finish  strongly reminiscent  bourbon reminding   blantons   anything else overall    find    good price   definitely worth adding   collection "
"102","   good drink   paid  fiddich  livet  macca  signet get  point hype  overrated  getting  price  increase crazy price   cut price    would    stars"
"103","super smooth absolutely relaxing  sweet taste  got  bottle  barcelona airport  treasuring     stock must buy n must try stunning "
"104","japaner lägger verkligen ned sin själ  vad de gör och det lönar sig häll upp ett glas och tillsätt  isbitar så vaknar whiskyn till och bjuder på en doftsensation som skotsk whisky aldrig kan bjuda på skotsk whisky är ju helt död oavsett vad du gör "
"105","quite enjoyed   like others  said   price  nothing special depressingly  found  bottle   local alcohol shop  portugal  roughly   wonder   hype  japanese whisky  end"
"106","  training wheels  scotch   "
"107"," smooth well balanced  tasty"
